location.name+A319,location.region,location.country,location.lat,location.lon,location.tz_id,location.localtime_epoch,location.localtime,current.last_updated_epoch,current.last_updated,current.temp_c,current.temp_f,current.is_day,current.condition.text,current.condition.icon,current.condition.code,current.wind_mph,current.wind_kph,current.wind_degree,current.wind_dir,current.pressure_mb,current.pressure_in,current.precip_mm,current.precip_in,current.humidity,current.cloud,current.feelslike_c,current.feelslike_f,current.vis_km,current.vis_miles,current.uv,current.gust_mph,current.gust_kph
Mumbai,Maharashtra,India,18.98,72.83,Asia/Kolkata,1629393900,19-08-2021 22:55,1629393300,19-08-2021 22:45,25,77,0,Mist,//cdn.weatherapi.com/weather/64x64/night/143.png,1030,0,0,0,N,1007,29.74,0.1,0,94,75,26.8,80.2,2.5,1,1,5.1,8.3
Mumbai,Maharashtra,India,18.98,72.83,Asia/Kolkata,1629394748,19-08-2021 23:09,1629394200,19-08-2021 23:00,25,77,0,Mist,//cdn.weatherapi.com/weather/64x64/night/143.png,1030,0,0,0,N,1007,29.74,0.1,0,94,75,26.8,80.2,2.5,1,1,5.4,8.6
Mumbai,Maharashtra,India,18.98,72.83,Asia/Kolkata,1629437501,20-08-2021 11:01,1629437400,20-08-2021 11:00,26,78.8,1,Light rain,//cdn.weatherapi.com/weather/64x64/day/296.png,1183,11.9,19.1,270,W,1007,29.74,1.1,0.04,89,100,28.4,83.1,2.1,1,6,6.5,10.4
Mumbai,Maharashtra,India,18.98,72.83,Asia/Kolkata,1629442514,20-08-2021 12:25,1629441900,20-08-2021 12:15,27,80.6,1,Light rain,//cdn.weatherapi.com/weather/64x64/day/296.png,1183,11.9,19.1,280,W,1007,29.74,0.8,0.03,89,75,30.2,86.4,2.1,1,6,9.6,15.5
Mumbai,Maharashtra,India,18.98,72.83,Asia/Kolkata,1629449480,20-08-2021 14:21,1629449100,20-08-2021 14:15,26,78.8,1,Moderate or heavy rain shower,//cdn.weatherapi.com/weather/64x64/day/356.png,1243,11.9,19.1,330,NNW,1006,29.71,0,0,94,75,28.3,82.9,2.5,1,6,7.6,12.2
Mumbai,Maharashtra,India,18.98,72.83,Asia/Kolkata,1629464295,20-08-2021 18:28,1629463500,20-08-2021 18:15,25,77,1,Torrential rain shower,//cdn.weatherapi.com/weather/64x64/day/359.png,1246,4.3,6.8,210,SSW,1005,29.68,0.1,0,100,100,26.6,79.8,1.5,0,6,6.5,10.4
Mumbai,Maharashtra,India,18.98,72.83,Asia/Kolkata,1629470315,20-08-2021 20:08,1629469800,20-08-2021 20:00,26,78.8,0,Moderate or heavy rain shower,//cdn.weatherapi.com/weather/64x64/night/356.png,1243,4.3,6.8,270,W,1006,29.71,0,0,94,100,27.8,82,1.8,1,6,7.6,12.2
Mumbai,Maharashtra,India,18.98,72.83,Asia/Kolkata,1629474615,20-08-2021 21:20,1629474300,20-08-2021 21:15,25,77,0,Light rain,//cdn.weatherapi.com/weather/64x64/night/296.png,1183,3.8,6.1,290,WNW,1007,29.74,0,0,94,100,26.6,80,2.1,1,6,6.7,10.8
Mumbai,Maharashtra,India,18.98,72.83,Asia/Kolkata,1629505717,21-08-2021 05:58,1629504900,21-08-2021 05:45,25,77,0,Torrential rain shower,//cdn.weatherapi.com/weather/64x64/night/359.png,1246,10.5,16.9,240,WSW,1006,29.71,1.8,0.07,100,100,27.7,81.9,1.6,0,1,9.2,14.8
Mumbai,Maharashtra,India,18.98,72.83,Asia/Kolkata,1629509746,21-08-2021 07:05,1629509400,21-08-2021 07:00,24,75.2,1,Light rain,//cdn.weatherapi.com/weather/64x64/day/296.png,1183,6.9,11.2,250,WSW,1006,29.71,4.1,0.16,100,100,26.3,79.3,2.2,1,1,9.4,15.1
